T27,Water supply and sanitation services,,,,,
840,United States of America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2022,"Safely managed drinking water sources, total (Proportion of population with access)",97.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
850,United States Virgin Islands,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
850,United States Virgin Islands,2015,"Safely managed drinking water sources, total (Proportion of population with access)",97.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
850,United States Virgin Islands,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
858,Uruguay,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",94.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
858,Uruguay,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",94.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
858,Uruguay,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",94.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",66.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",64.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",83.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",73.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",87.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",56.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",72.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",64.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",84.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",74.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",88.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",70.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2022,"Safely managed drinking water sources, total (Proportion of population with access)",79.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
860,Uzbekistan,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",85.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
