T02,"Population, density and surface area",,,,,
858,Uruguay,2022,Sex ratio (males per 100 females),94.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2022,Population aged 0 to 14 years old (percentage),19.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2022,Population aged 60+ years old (percentage),20.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2022,Population density,19.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2022,Surface area (thousand km2),174,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
858,Uruguay,2024,Population mid-year estimates (millions),3.39,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2024,Population mid-year estimates for males (millions),1.64,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2024,Population mid-year estimates for females (millions),1.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2024,Sex ratio (males per 100 females),94.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2024,Population aged 0 to 14 years old (percentage),18.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2024,Population aged 60+ years old (percentage),21.4,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2024,Population density,19.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
860,Uzbekistan,2010,Population mid-year estimates (millions),28.39,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
860,Uzbekistan,2010,Population mid-year estimates for males (millions),14.27,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
860,Uzbekistan,2010,Population mid-year estimates for females (millions),14.11,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
860,Uzbekistan,2010,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
860,Uzbekistan,2010,Population aged 0 to 14 years old (percentage),28.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
860,Uzbekistan,2010,Population aged 60+ years old (percentage),6.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
