T03,Population growth and indicators of fertility and mortality,,,,,
694,Sierra Leone,2010,"Maternal mortality ratio (deaths per 100,000 population)",837,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
694,Sierra Leone,2010,Life expectancy at birth for both sexes (years),51.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2010,Life expectancy at birth for males (years),50.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2010,Life expectancy at birth for females (years),52.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2015,Population annual rate of increase (percent),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2015,Total fertility rate (children per women),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2015,"Under five mortality rate for both sexes (per 1,000 live births)",132.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2015,"Maternal mortality ratio (deaths per 100,000 population)",588,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
694,Sierra Leone,2015,Life expectancy at birth for both sexes (years),55.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2015,Life expectancy at birth for males (years),54.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2015,Life expectancy at birth for females (years),56.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2020,Population annual rate of increase (percent),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2020,Total fertility rate (children per women),4.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2020,"Under five mortality rate for both sexes (per 1,000 live births)",108.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2020,"Maternal mortality ratio (deaths per 100,000 population)",443,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
694,Sierra Leone,2020,Life expectancy at birth for both sexes (years),59.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2020,Life expectancy at birth for males (years),58.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2020,Life expectancy at birth for females (years),61.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2024,Population annual rate of increase (percent),2.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2024,Total fertility rate (children per women),3.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2024,"Under five mortality rate for both sexes (per 1,000 live births)",95.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2024,Life expectancy at birth for both sexes (years),62.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2024,Life expectancy at birth for males (years),60.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
